C,class_weight,preproc,keypoint_size,step,n_keypoints,n_words,accuracy,macro_f1,fit_seconds,n_iter,converged
100.0,,raw_gray,4,2,576,1000,0.7476372924648786,0.6956577379561685,13.573480064980686,109,True
0.1,balanced,raw_gray,4,2,576,1000,0.7337164750957854,0.6747715466378078,6.6870498600183055,14,True
1.0,balanced,raw_gray,4,2,576,1000,0.7639846743295019,0.7078608746615435,7.009339078969788,17,True
10.0,balanced,raw_gray,4,2,576,1000,0.7587484035759898,0.7053795813497754,8.092545256018639,32,True
100.0,balanced,raw_gray,4,2,576,1000,0.749808429118774,0.6946775953750706,15.931379517016467,190,True
0.1,,raw_gray,3,2,576,500,0.7781609195402299,0.6902513778334844,13.504218679037876,15,True
1.0,,raw_gray,3,2,576,500,0.7988505747126436,0.7294346950914031,19.78716066904599,18,True
10.0,,raw_gray,3,2,576,500,0.7931034482758621,0.724620985608373,15.519714476016816,22,True
100.0,,raw_gray,3,2,576,500,0.7793103448275862,0.7119828228985935,12.40399661596166,69,True
0.1,balanced,raw_gray,3,2,576,500,0.7659003831417625,0.7033215679871602,7.712742739007808,12,True
1.0,balanced,raw_gray,3,2,576,500,0.7955300127713921,0.7302230184913023,8.151735423016362,15,True
10.0,balanced,raw_gray,3,2,576,500,0.7929757343550446,0.7250859676205353,8.590173518983647,19,True
100.0,balanced,raw_gray,3,2,576,500,0.7821200510855684,0.7155375403072158,12.99052546697203,133,True
0.1,,raw_gray,3,2,576,1000,0.8367816091954023,0.7620644562216016,8.21603391302051,13,True
1.0,,raw_gray,3,2,576,1000,0.8503192848020434,0.7860343711529062,8.409771525010001,16,True
10.0,,raw_gray,3,2,576,1000,0.8401021711366539,0.7818865839523944,9.1978412179742,21,True
100.0,,raw_gray,3,2,576,1000,0.8228607918263091,0.7621514694082382,14.490122938994318,86,True
0.1,balanced,raw_gray,3,2,576,1000,0.8292464878671775,0.7734266589499489,7.63896664197091,13,True
1.0,balanced,raw_gray,3,2,576,1000,0.8457215836526182,0.7863095188791293,7.945659479009919,15,True
10.0,balanced,raw_gray,3,2,576,1000,0.8415070242656449,0.7818808971068609,9.663733225024771,29,True
100.0,balanced,raw_gray,3,2,576,1000,0.8266922094508301,0.7653339087200505,19.11753463000059,163,True
0.1,,raw_gray,2,2,576,500,0.8747126436781609,0.8001792273739892,9.402847693010699,12,True
1.0,,raw_gray,2,2,576,500,0.8878671775223499,0.8384000827447614,9.537357388995588,15,True
10.0,,raw_gray,2,2,576,500,0.8780332056194126,0.8280667317705828,10.050071333011147,18,True
100.0,,raw_gray,2,2,576,500,0.8630906768837804,0.8082872042226501,13.931027980986983,58,True
0.1,balanced,raw_gray,2,2,576,500,0.8800766283524905,0.8260939793542964,9.40249374799896,12,True
1.0,balanced,raw_gray,2,2,576,500,0.8914431673052363,0.8433722812366067,9.814848497044295,14,True
10.0,balanced,raw_gray,2,2,576,500,0.8803320561941251,0.8318656758378473,10.619158360001165,24,True
100.0,balanced,raw_gray,2,2,576,500,0.8644955300127714,0.8089529999926243,16.55818403000012,127,True
0.1,,raw_gray,2,2,576,1000,0.9210727969348659,0.8405961736391536,12.111938891990576,13,True
